binary,config,ipc,bp_lookups,bp_squashes,bp_corrected,bp_cond_incorrect,ras_used,ras_incorrect,btb_lookups,btb_mispredicted,committed_insts,cycles,l2_hits,l2_misses,mispredict_rate,l2_miss_rate
basicmath,baseline,0.62641,32665684.0,20444953.0,8183715.0,,,,,,,90596446.0,,,0.25052942408920625,
basicmath,both,1.502868,13425201.0,1204469.0,190208.0,,,,,,,37761515.0,,,0.01416798154455937,
basicmath,btb_1,0.746866,27226074.0,15005343.0,6632103.0,,,,,,,75984942.0,,,0.24359380643716755,
basicmath,btb_1024,1.356653,14809414.0,2588682.0,614417.0,,,,,,,41831290.0,,,0.04148827225709269,
basicmath,btb_16,0.8246,25795694.0,13574963.0,4609075.0,,,,,,,68821948.0,,,0.1786761387385042,
basicmath,btb_256,1.192699,16692485.0,4471753.0,1517332.0,,,,,,,47581632.0,,,0.09089910819150054,
basicmath,btb_4096,1.502868,13425201.0,1204469.0,190208.0,,,,,,,37761515.0,,,0.01416798154455937,
basicmath,btb_64,0.933998,22135399.0,9914667.0,3454023.0,,,,,,,60760923.0,,,0.15604069300941897,
basicmath,btb_only,1.10745,18321142.0,6100411.0,1614726.0,,,,,,,51244376.0,,,0.08813457152398033,
basicmath,ras_0,1.107458,18320984.0,6100253.0,1614585.0,,,,,,,51243988.0,,,0.08812763550254725,
basicmath,ras_16,1.502868,13425201.0,1204469.0,190208.0,,,,,,,37761515.0,,,0.01416798154455937,
basicmath,ras_32,1.502868,13425201.0,1204469.0,190208.0,,,,,,,37761515.0,,,0.01416798154455937,
basicmath,ras_4,1.483855,13567079.0,1346347.0,231325.0,,,,,,,38245364.0,,,0.017050464584159937,
basicmath,ras_8,1.502868,13425227.0,1204495.0,190214.0,,,,,,,37761515.0,,,0.014168401025919338,
basicmath,ras_only,0.746866,27226074.0,15005343.0,6632103.0,,,,,,,75984942.0,,,0.24359380643716755,
basicmath,with_l2_cache,1.501733,13425244.0,1204512.0,190211.0,,,,,,,37790050.0,,,0.014168159625255227,
fib,baseline,0.464621,40197221.0,30771592.0,10771559.0,,,,,,,89842883.0,,,0.26796775329319406,
fib,both,1.930771,9464216.0,38587.0,10235.0,,,,,,,21619810.0,,,0.0010814419282062033,
fib,btb_1,0.935178,18884007.0,9458378.0,6222420.0,,,,,,,44636314.0,,,0.329507397450128,
fib,btb_1024,1.930772,9464228.0,38599.0,10239.0,,,,,,,21619805.0,,,0.0010818632010978603,
fib,btb_16,1.930666,9464637.0,39008.0,10397.0,,,,,,,21620991.0,,,0.0010985101700149726,
fib,btb_256,1.930765,9464269.0,38640.0,10258.0,,,,,,,21619880.0,,,0.0010838660650917679,
fib,btb_4096,1.930771,9464216.0,38587.0,10235.0,,,,,,,21619810.0,,,0.0010814419282062033,
fib,btb_64,1.930705,9464450.0,38821.0,10314.0,,,,,,,21620548.0,,,0.0010897622154483356,
fib,btb_only,0.642691,22927075.0,13501446.0,4880621.0,,,,,,,64950198.0,,,0.21287586837832562,
fib,ras_0,0.642691,22927075.0,13501446.0,4880621.0,,,,,,,64950198.0,,,0.21287586837832562,
fib,ras_16,1.930771,9464216.0,38587.0,10235.0,,,,,,,21619810.0,,,0.0010814419282062033,
fib,ras_32,1.93251,9454693.0,29064.0,9623.0,,,,,,,21600355.0,,,0.0010178014241181601,
fib,ras_4,1.638308,12504695.0,3079066.0,206068.0,,,,,,,25479276.0,,,0.01647925039355218,
fib,ras_8,1.87498,9902271.0,476642.0,38290.0,,,,,,,22263124.0,,,0.0038667897495433118,
fib,ras_only,0.935178,18884007.0,9458378.0,6222420.0,,,,,,,44636314.0,,,0.329507397450128,
fib,with_l2_cache,1.931003,9454697.0,29068.0,9621.0,,,,,,,21617219.0,,,0.001017589458445892,
